problem_id,variant,classical_objective,quantum_objective,final_objective,exact_objective,selected_load_ids,n_selected,total_demand_kg,capacity_utilization,feasible,improvement,classical_ms,qubo_build_ms,quantum_ms,decode_ms,total_ms,n_qubo_vars,coupling_density,seed,q_quantum_invoked,q_quantum_contribution_used,q_quantum_artifact_source,q_quantum_artifact_ids,q_quantum_contribution_score,q_classical_incumbent_objective,q_quantum_candidate_objective,q_final_route_source,q_rejection_reason,q_n_qubits,q_circuit_depth,q_shots,q_feasible_sampling_rate,q_coupling_density,q_skip_reason,experiment,category,algorithm,n_options
CIRC_000_MND_3F94E23EB0A5,HYBRID-3,-342.9169840803646,-162.94387002791171,-342.9169840803646,-344.9493381818851,"REQ_A44EDC637760,REQ_3AF68950041F",2,1990.0,0.9623667252377677,True,0.0,0.03499999002087861,0.16160000814124942,2963.512999995146,0.02139998832717538,2963.8919999997597,12,1.0,42,True,False,quantum_simulator,,0.0,-342.9169840803646,-162.94387002791171,classical_incumbent,not_better_than_incumbent,12,132.0,1024.0,0.255859375,1.0,,quav_hybrid_v1,circular_return,HYBRID-3,6
CIRC_000_MND_3F94E23EB0A5,HYBRID-3-WARM,-342.9169840803646,-162.94387002791171,-342.9169840803646,-344.9493381818851,"REQ_A44EDC637760,REQ_3AF68950041F",2,1990.0,0.9623667252377677,True,0.0,0.04159999662078917,0.40520000038668513,3453.1715999910375,0.01789999078027904,3454.0370000031544,12,1.0,42,True,False,quantum_simulator,,0.0,-342.9169840803646,-162.94387002791171,classical_incumbent,not_better_than_incumbent,12,132.0,1024.0,0.1953125,1.0,,quav_hybrid_v1,circular_return,HYBRID-3-WARM,6
CIRC_000_MND_3F94E23EB0A5,QUBO_CLASSICAL,-342.9169840803646,-342.9169840803646,-342.9169840803646,-344.9493381818851,"REQ_A44EDC637760,REQ_3AF68950041F",2,1990.0,0.9623667252377677,True,0.0,0.03429999924264848,0.40439999429509044,71.04229999822564,0.01750000228639692,71.91670000611339,12,1.0,42,True,False,classical_qubo,,0.0,-342.9169840803646,-342.9169840803646,classical_incumbent,not_better_than_incumbent,12,,,,1.0,,quav_hybrid_v1,circular_return,QUBO_CLASSICAL,6
CIRC_001_MND_96A0566277F9,HYBRID-3,-2637.6451420335775,-2637.6451420335775,-2637.6451420335775,-2637.6451420335775,REQ_DB12DF250062,1,10470.0,0.8804373718757251,True,0.0,0.013500000932253897,0.1584999990882352,3208.6050999932922,0.013600001693703234,3208.9413999929093,12,1.0,42,True,False,quantum_simulator,,0.0,-2637.6451420335775,-2637.6451420335775,classical_incumbent,not_better_than_incumbent,12,132.0,1024.0,0.2060546875,1.0,,quav_hybrid_v1,circular_return,HYBRID-3,6
CIRC_001_MND_96A0566277F9,HYBRID-3-WARM,-2637.6451420335775,-2637.6451420335775,-2637.6451420335775,-2637.6451420335775,REQ_DB12DF250062,1,10470.0,0.8804373718757251,True,0.0,0.025500004994682968,0.3958999877795577,2928.704000005382,0.014599994756281376,2929.530400011572,12,1.0,42,True,False,quantum_simulator,,0.0,-2637.6451420335775,-2637.6451420335775,classical_incumbent,not_better_than_incumbent,12,132.0,1024.0,0.201171875,1.0,,quav_hybrid_v1,circular_return,HYBRID-3-WARM,6
CIRC_001_MND_96A0566277F9,QUBO_CLASSICAL,-2637.6451420335775,-2637.6451420335775,-2637.6451420335775,-2637.6451420335775,REQ_DB12DF250062,1,10470.0,0.8804373718757251,True,0.0,0.027799993404187262,0.3951999970013276,63.546899997163564,0.014700010069645941,64.38129999150988,12,1.0,42,True,False,classical_qubo,,0.0,-2637.6451420335775,-2637.6451420335775,classical_incumbent,not_better_than_incumbent,12,,,,1.0,,quav_hybrid_v1,circular_return,QUBO_CLASSICAL,6
CIRC_002_MND_4ADE384C6981,HYBRID-3,-2954.2267857467887,-2262.334333927,-2954.2267857467887,-2954.2267857467887,"REQ_44CBD75798B0,REQ_859E5B4399B4",2,11330.0,0.9922077559990023,True,0.0,0.0261999957729131,0.16429999959655106,3071.4213000028394,0.014800010831095278,3071.7872999957763,12,1.0,42,True,False,quantum_simulator,,0.0,-2954.2267857467887,-2262.334333927,classical_incumbent,not_better_than_incumbent,12,132.0,1024.0,0.1416015625,1.0,,quav_hybrid_v1,circular_return,HYBRID-3,6
CIRC_002_MND_4ADE384C6981,HYBRID-3-WARM,-2954.2267857467887,-2616.171193924599,-2954.2267857467887,-2954.2267857467887,"REQ_44CBD75798B0,REQ_859E5B4399B4",2,11330.0,0.9922077559990023,True,0.0,0.03199999628122896,0.39939999987836927,3806.263900012709,0.018300008377991617,3807.1283000026597,12,1.0,42,True,False,quantum_simulator,,0.0,-2954.2267857467887,-2616.171193924599,classical_incumbent,not_better_than_incumbent,12,132.0,1024.0,0.1826171875,1.0,,quav_hybrid_v1,circular_return,HYBRID-3-WARM,6
CIRC_002_MND_4ADE384C6981,QUBO_CLASSICAL,-2954.2267857467887,-2954.2267857467887,-2954.2267857467887,-2954.2267857467887,"REQ_44CBD75798B0,REQ_859E5B4399B4",2,11330.0,0.9922077559990023,True,0.0,0.03360000846441835,0.38579999818466604,60.12389999523293,0.016399993910454214,60.93890000192914,12,1.0,42,True,False,classical_qubo,,0.0,-2954.2267857467887,-2954.2267857467887,classical_incumbent,not_better_than_incumbent,12,,,,1.0,,quav_hybrid_v1,circular_return,QUBO_CLASSICAL,6
CIRC_003_MND_9AC86A6D5AEC,HYBRID-3,-2475.652677940475,-2475.652677940475,-2475.652677940475,-2475.652677940475,REQ_EE447F625BA1,1,9020.0,0.8298044591848354,True,0.0,0.014399993233382702,0.1640999980736524,3192.371600001934,0.012199991033412516,3192.7161999919917,12,1.0,42,True,False,quantum_simulator,,0.0,-2475.652677940475,-2475.652677940475,classical_incumbent,not_better_than_incumbent,12,132.0,1024.0,0.1669921875,1.0,,quav_hybrid_v1,circular_return,HYBRID-3,6
