experiment,category,instance_id,algorithm,objective,feasible,distance_km,time_min,toll_inr,fuel_inr,empty_km,circular_score,classical_objective,improvement,total_ms,classical_ms,cost_snapshot_id,seed,q_quantum_invoked,q_quantum_contribution_used,q_final_route_source,variant,violations,tour,corridor_ms,qubo_build_ms,quantum_ms,decode_ms,postprocess_ms,n_qubo_vars,q_quantum_artifact_source,q_quantum_artifact_ids,q_quantum_contribution_score,q_classical_incumbent_objective,q_quantum_candidate_objective,q_rejection_reason,q_n_qubits,q_circuit_depth,q_shots,q_feasible_sampling_rate,q_coupling_density,q_skip_reason
quav_hybrid_v1,multi_stop,INS_25D0DC054C1A,HYBRID-2,2797.3877235294117,False,1684.862,2197.82,1969.25,31001.48,12.708,0.0,2797.3877235294117,0.0,3516.0670000041137,2.7181000041309744,CST_48011250D4FB,42,True,False,classical_incumbent,HYBRID-2,route_0_over_capacity;route_0_node_7_late;route_0_node_4_late;route_0_node_6_late;route_0_node_2_late;route_0_node_11_late;route_0_node_1_late;route_0_node_5_late,"0,12,13,9,7,8,14,15,10,4,3,6,2,16,11,1,5",1.600000003236346,0.1444000081392005,3511.3458999985596,0.000400003045797348,0.0,18.0,quantum_simulator,,0.0,2797.3877235294117,,no_feasible_quantum_sample,18.0,66.0,1024.0,0.0,0.19607843137254902,
quav_hybrid_v1,multi_stop,INS_55499C1EC9DD,BEST_CLASSICAL,3831.561939999999,False,2303.287,3014.44,3014.69,42380.46,19.304,0.0,3831.561939999999,0.0,1.9467999954940751,1.7035999917425215,CST_48011250D4FB,42,False,False,classical_incumbent,,,,,,,,,,,,,,,,,,,,,
quav_hybrid_v1,multi_stop,INS_55499C1EC9DD,HYBRID-1,3831.561939999999,False,2303.287,3014.44,3014.69,42380.46,19.304,0.0,3831.561939999999,0.0,3128.7768999900436,3.410400007851422,CST_48011250D4FB,42,True,False,classical_incumbent,HYBRID-1,route_0_over_capacity;route_0_node_10_late;route_0_node_8_late;route_0_node_11_late;route_0_node_4_late;route_0_node_14_late;route_0_node_9_late;route_0_node_13_late;route_0_node_5_late;route_0_node_3_late;route_0_node_12_late,"0,2,7,10,8,6,1,11,4,14,9,13,5,3,12",5.141699992236681,0.17040000238921493,3119.6526999992784,0.000500003807246685,0.0,17.0,quantum_simulator,,0.0,3831.561939999999,,no_feasible_quantum_sample,17.0,90.0,1024.0,0.0,0.3014705882352941,
quav_hybrid_v1,multi_stop,INS_55499C1EC9DD,HYBRID-2,3831.561939999999,False,2303.287,3014.44,3014.69,42380.46,19.304,0.0,3831.561939999999,0.0,3247.735400000238,1.3998999929754063,CST_48011250D4FB,42,True,False,classical_incumbent,HYBRID-2,route_0_over_capacity;route_0_node_10_late;route_0_node_8_late;route_0_node_11_late;route_0_node_4_late;route_0_node_14_late;route_0_node_9_late;route_0_node_13_late;route_0_node_5_late;route_0_node_3_late;route_0_node_12_late,"0,2,7,10,8,6,1,11,4,14,9,13,5,3,12",4.747300001326948,0.1647000026423484,3241.161199999624,0.000400003045797348,0.0,17.0,quantum_simulator,,0.0,3831.561939999999,,no_feasible_quantum_sample,17.0,90.0,1024.0,0.0,0.3014705882352941,
quav_hybrid_v1,multi_stop,INS_525F22536A7A,BEST_CLASSICAL,2291.4559400000003,False,1371.398,1789.41,1271.06,25233.72,29.824,0.0,2291.4559400000003,0.0,1.8492999952286482,1.6562999953748658,CST_48011250D4FB,42,False,False,classical_incumbent,,,,,,,,,,,,,,,,,,,,,
quav_hybrid_v1,multi_stop,INS_525F22536A7A,HYBRID-1,2291.4559400000003,False,1371.398,1789.41,1271.06,25233.72,29.824,0.0,2291.4559400000003,0.0,2986.295599999721,1.6100999928312376,CST_48011250D4FB,42,True,False,classical_incumbent,HYBRID-1,route_0_over_capacity;route_0_node_6_late;route_0_node_5_late;route_0_node_11_late;route_0_node_10_late;route_0_node_9_late;route_0_node_14_late,"0,13,1,8,3,12,4,6,5,7,11,2,10,9,14",5.2869000064674765,0.18140001338906586,2978.9908999955514,0.0009999930625781417,0.0,17.0,quantum_simulator,,0.0,2291.4559400000003,,no_feasible_quantum_sample,17.0,78.0,1024.0,0.0,0.2867647058823529,
quav_hybrid_v1,multi_stop,INS_525F22536A7A,HYBRID-2,2291.4559400000003,False,1371.398,1789.41,1271.06,25233.72,29.824,0.0,2291.4559400000003,0.0,3049.9522000027355,1.556000002892688,CST_48011250D4FB,42,True,False,classical_incumbent,HYBRID-2,route_0_over_capacity;route_0_node_6_late;route_0_node_5_late;route_0_node_11_late;route_0_node_10_late;route_0_node_9_late;route_0_node_14_late,"0,13,1,8,3,12,4,6,5,7,11,2,10,9,14",4.997199997887947,0.17469999147579074,3042.8404999984195,0.000400003045797348,0.0,17.0,quantum_simulator,,0.0,2291.4559400000003,,no_feasible_quantum_sample,17.0,78.0,1024.0,0.0,0.2867647058823529,
quav_hybrid_v1,multi_stop,INS_08928C1C8C2B,BEST_CLASSICAL,5110.378757142857,False,3075.691,4011.82,4525.14,56592.71,18.9,0.0,5110.378757142857,0.0,6.190800006152131,5.107699995278381,CST_48011250D4FB,42,False,False,classical_incumbent,,,,,,,,,,,,,,,,,,,,,
quav_hybrid_v1,multi_stop,INS_08928C1C8C2B,HYBRID-1,5110.378757142857,False,3075.691,4011.82,4525.14,56592.71,18.9,0.0,5110.378757142857,0.0,4842.28469998925,9.846399989328347,CST_48011250D4FB,42,True,False,classical_incumbent,HYBRID-1,route_0_over_capacity;route_0_node_5_late;route_0_node_13_late;route_0_node_19_late;route_0_node_8_late;route_0_node_4_late;route_0_node_10_late;route_0_node_18_late;route_0_node_1_late;route_0_node_14_late;route_0_node_20_late;route_0_node_11_late;route_0_node_16_late;route_0_node_7_late;route_0_node_2_late;route_0_node_9_late;route_0_node_12_late,"0,6,15,17,3,5,13,19,8,4,10,18,1,14,20,11,16,7,2,9,12",15.68500000576023,0.17430000298190862,4816.145400007372,0.000500003807246685,0.0,19.0,quantum_simulator,,0.0,5110.378757142857,,no_feasible_quantum_sample,19.0,66.0,1024.0,0.0,0.19298245614035087,
quav_hybrid_v1,multi_stop,INS_08928C1C8C2B,HYBRID-2,5110.378757142857,False,3075.691,4011.82,4525.14,56592.71,18.9,0.0,5110.378757142857,0.0,3545.622000005096,3.797599987592548,CST_48011250D4FB,42,True,False,classical_incumbent,HYBRID-2,route_0_over_capacity;route_0_node_5_late;route_0_node_13_late;route_0_node_19_late;route_0_node_8_late;route_0_node_4_late;route_0_node_10_late;route_0_node_18_late;route_0_node_1_late;route_0_node_14_late;route_0_node_20_late;route_0_node_11_late;route_0_node_16_late;route_0_node_7_late;route_0_node_2_late;route_0_node_9_late;route_0_node_12_late,"0,6,15,17,3,5,13,19,8,4,10,18,1,14,20,11,16,7,2,9,12",12.617200001841411,0.20789999689441174,3528.6767999932636,0.000400003045797348,0.0,19.0,quantum_simulator,,0.0,5110.378757142857,,no_feasible_quantum_sample,19.0,66.0,1024.0,0.0,0.19298245614035087,
